Vida e Caffè (East Legon),2 votes5.0,"East Legon, Accra","Burgers, Coffee & Tea, Dessert, Juice & Smoothies, Pastries, Salads, Sandwiches, Wraps","Cafe, Great for Groups, Great for Kids, Outdoor Seating, PoS, Wifi",₵50 approx. cost for 2 persons
Briefcase Pub & Shisha,1 votes5.0,"East Legon, Accra",Bar Food,"Bar & Lounge, Great for Groups, Outdoor Seating, PoS, Shisha",₵80 approx. cost for 2 persons
Prech-T Star Bar & Restaurant - Liberian,1 votes5.0,"Osu, Accra","African, Ghanaian, Liberian","Bar & Lounge, Brunch, Buka / Mama Put, Cafe, Dinner, Great for Groups, Late Night Dining, Lunch, Modern Buka, New & Hot, Outdoor Seating, Shisha",₵30 approx. cost for 2 persons
Santoku,3 votes4.7,"Dzorwulu, Accra","Asian, Japanese, Sushi, Vegan, Vegetarian","Bar & Lounge, Great for Groups, Outdoor Seating, PoS, Romantic",₵350 approx. cost for 2 persons
Moka's Resto Cafe,2 votes4.5,"Labone, Accra","American, Coffee & Tea, Pizza","Cafe, Late Night Dining, New & Hot, Outdoor Seating",₵120 approx. cost for 2 persons
Little Havana,2 votes4.5,"Osu, Accra","Bar Food, Spanish, Street Food","Bar & Lounge, Dinner, New & Hot, Outdoor Seating, Romantic",₵150 approx. cost for 2 persons
Heavy Do Chop Bar,2 votes4.5,"Kokomlemle, Accra","African, Ghanaian","Bar & Lounge, Chop Bar, Great for Groups, PoS",₵50 approx. cost for 2 persons
Starbites Food & Drinks (East Legon),2 votes4.5,"East Legon, Accra","Burgers, Coffee & Tea, Grills, Inter-Continental, Pizza, Salads, Sandwiches, Seafood","Bar & Lounge, Brunch, Cafe, Great for Groups, Great for Kids, Late Night Dining, Live Music, Outdoor Seating, PoS",₵100 approx. cost for 2 persons
Bistro 22 Kitchen + Bar,2 votes4.5,"Labone, Accra","Burgers, Inter-Continental, Salads, Sandwiches, Seafood, Steak","Bar & Lounge, Fine Dining, Late Night Dining, Outdoor Seating, PoS, Romantic",₵450 approx. cost for 2 persons
805 Restaurant,1 votes4.5,"Airport Residential, Accra","African, Ghanaian, Nigerian","Bar & Lounge, Breakfast, Dinner, Lunch, Outdoor Seating, PoS",₵125 approx. cost for 2 persons
La Chaumiere,1 votes4.5,"Airport Residential, Accra","European, French, Mediterranean","Bar & Lounge, Fine Dining, Great for Groups, Late Night Dining, PoS, Romantic",₵300 approx. cost for 2 persons
La Piazza,1 votes4.5,"Osu, Accra","Barbecue, Coffee & Tea, Italian, Pizza, Salads","Bar & Lounge, Great for Groups, Great for Kids, PoS, Rooftop",₵125 approx. cost for 2 persons
Azmera Restaurant,1 votes4.5,"Roman Ridge, Accra","African, Ghanaian","Buffet, Dinner, Great for Groups, Great for Kids, Lunch, PoS",₵125 approx. cost for 2 persons
Midunu House,1 votes4.5,"Tesano, Accra","African, Ethiopian, Ghanaian, Moroccan, Senegalese","Fine Dining, Great for Groups, Romantic",₵450 approx. cost for 2 persons
Pinkberry (Labone),1 votes4.5,"Labone, Accra","Dessert, Froyo, Ice Cream, Yogurt","Great for Kids, New & Hot, PoS",₵35 approx. cost for 2 persons
Cafe Mondo,1 votes4.5,"Labone, Accra","Coffee & Tea, Lebanese, Pizza, Salads, Sandwiches","Breakfast, Brunch, Cafe, Dinner, PoS, Wifi",₵85 approx. cost for 2 persons
AM & PM Restaurant Sports Bar,2 votes4.3,"Dzorwulu, Accra","American, Burgers","Bar & Lounge, Breakfast, Brunch, Dinner, Great for Groups, Late Night Dining, PoS, Romantic",₵200 approx. cost for 2 persons
Zen Garden,2 votes4.3,"Labone, Accra","Burgers, Grills, Lebanese, Pizza, Sandwiches","Bar & Lounge, Breakfast, Dinner, Karaoke, Late Night Dining, Live Music, Lunch, Outdoor Seating",₵100 approx. cost for 2 persons
SkyBar 25,2 votes4.3,"Dzorwulu, Accra","Burgers, European, Inter-Continental, Mediterranean","Bar & Lounge, Late Night Dining, Outdoor Seating, PoS, Romantic, Rooftop",₵275 approx. cost for 2 persons
The Counter,1 votes4.0,"Airport Residential, Accra","American, Burgers","Bar & Lounge, Breakfast, Brunch, Dinner, Great for Groups, Great for Kids, PoS",₵100 approx. cost for 2 persons
